# 点数Nは点数が低い順に書くこと
#   名前,         種類, 点数計算種, 基本点数, 点数0, 点数1, 点数2,  名前0,  名前1,      名前2,          img名, 説明文
      麺,     炭水化物,   REQUIRED,        1,     1,     1,     1,   なし,   なし,       なし,     noodle.png, 1点，調理に必須
      麺,     炭水化物,   REQUIRED,        1,     1,     1,     1,   なし,   なし,       なし,     noodle.png, 1点，調理に必須
      麺,     炭水化物,   REQUIRED,        1,     1,     1,     1,   なし,   なし,       なし,     noodle.png, 1点，調理に必須
      麺,     炭水化物,   REQUIRED,        1,     1,     1,     1,   なし,   なし,       なし,     noodle.png, 1点，調理に必須
      麺,     炭水化物,   REQUIRED,        1,     1,     1,     1,   なし,   なし,       なし,     noodle.png, 1点，調理に必須
    鶏肉,  タンパク質2,      AND/2,        3,     5,     7,     7,   ネギ,   生姜,       なし,     chiken.png, 3点，withネギで5点，withネギ&生姜で7点，捨てたらカード2枚引ける
    豚肉,  タンパク質3,      AND/1,        5,     8,     8,     7, キノコ,   なし,       なし,       pork.png, 5点，withキノコで8点，捨てたらカード3枚引ける
    海老,  タンパク質4,      AND/2,        6,     9,    11,    11,   生姜,   醤油,       なし,     shrimp.png, 6点，with生姜で9点，with醤油&生姜で11点，捨てたらカード4枚引ける
    豆腐,  タンパク質1,    AND/2/T,        7,     8,    10,    -5,   醤油,   生姜, タンパク質,       tofu.png, 7点，with醤油で8点，with醤油&生姜で10点，捨てたらカード1枚引ける，野菜とペアで捨てれる，タンパク質と一緒に調理したら-5点
    醤油,         野菜,       OR/2,        1,     2,     3,     3,   ネギ,   生姜,           ,  soysource.png, 1点，withネギで2点，with生姜で3点
    醤油,         野菜,       OR/2,        1,     2,     3,     3,   ネギ,   生姜,           ,  soysource.png, 1点，withネギで2点，with生姜で3点
    醤油,         野菜,       OR/2,        1,     2,     3,     3,   ネギ,   生姜,           ,  soysource.png, 1点，withネギで2点，with生姜で3点
    生姜,         野菜,      AND/1,        2,     4,     4,     4,   豚肉,   なし,           ,     ginger.png, 2点，with豚肉で4点
    生姜,         野菜,      AND/1,        2,     4,     4,     4,   豚肉,   なし,           ,  mushrooms.png, 2点，with豚肉で4点
  キノコ,         野菜,      AND/1,        2,     3,     3,     4,   鶏肉,   なし,           ,  mushrooms.png, 2点，with鶏肉で3点
  キノコ,         野菜,      AND/1,        2,     3,     3,     4,   鶏肉,   なし,           ,  mushrooms.png, 2点，with鶏肉で3点
  キノコ,         野菜,      AND/1,        2,     3,     3,     4,   鶏肉,   なし,           , greenonion.png, 2点，with鶏肉で3点
    ネギ,         野菜,      AND/1,        3,     5,     5,     4,   海老,   なし,           , greenonion.png, 3点，with海老で5点
    ネギ,         野菜,      AND/1,        3,     5,     5,     4,   海老,   なし,           , greenonion.png, 3点，with海老で5点
